service,DAH
4FPlCE,0
FP7s3C,0
j170x7,0
Tm43f4,0
LY387V,0
5VY47y,0.017013506
5DK1Wn,0.021097046
05y7c5,0.024462366
dROE58,0.024950236
2g25pd,0.035107376
BO8y4m,0.037037037
1Q3287,0.046840079
3CHIuk,0.049720695
Q4Rnyt,0.050314465
Fs0B1N,0.050376459
6M753a,0.052064069
1HD33Q,0.053200892
3Eorl8,0.054582565
hOSwV4,0.055555556
hH500w,0.05952381
T82JW5,0.0625
O468p8,0.063492063
71c564,0.065292096
328L00,0.066842161
0336w4,0.067162843
1G7nFq,0.067584384
g65g4V,0.071332611
WO360O,0.071428571
R33243,0.073095459
0G27aL,0.077348092
q8CM2Q,0.078150712
Xv4QN0,0.081555422
m8l42u,0.083333333
AY7jgU,0.084745763
k1ciUg,0.08528115
VP33N6,0.085976181
3CJ262,0.086107994
o4Ji1v,0.088827259
QE82H5,0.089311343
mP77o8,0.093851261
7nw7Dj,0.100764822
82wp55,0.103089074
7OEg00,0.103491261
8h1q5W,0.103620038
aw7y6J,0.105764185
3d05wm,0.107924908
Fl4X26,0.108885435
8u8718,0.111111111
PL41E4,0.111409156
45Io2C,0.11231569
IF1F8x,0.113392193
M8eI8T,0.114238653
206tl1,0.11581573
2YewHm,0.11627907
71H0n3,0.116512765
123X7q,0.117647059
8n3gJH,0.123393103
5opwW6,0.125466488
181b22,0.126939093
7Jja15,0.129544843
L7q5d4,0.130337647
6l6K55,0.132850761
22Qy27,0.135184012
h36IqT,0.135218304
5K836g,0.135956761
450785,0.136761327
V4JF4B,0.136792441
064bf4,0.138002474
T60I03,0.142731943
16R4Ph,0.146116271
7f1dML,0.15296828
5h45Eg,0.153217884
15X3Un,0.156993464
v8RsQm,0.157736545
Td7YuW,0.160376697
78581p,0.16095801
6bw5Vj,0.16333563
Oln64V,0.163823536
NHB041,0.165134443
Ou840g,0.169635555
yo1CFG,0.170614294
5R1yE1,0.175
U5u3OO,0.176657076
72d723,0.178571429
fs6k31,0.179168502
5fT524,0.18201622
10566N,0.185070839
4UM1Dv,0.189411079
54sb11,0.194261191
7gd15q,0.196991044
1I1fm8,0.203379571
2l6QDV,0.204806849
207iJ6,0.206637518
5T8FxY,0.208565677
m6O3BI,0.209881365
nkw83D,0.216390369
Na63W4,0.218071402
YepAHS,0.219198683
X52M01,0.22099743
pKe1o4,0.222019523
8lRW6R,0.222984899
a755xT,0.223729863
mR78k3,0.223908551
A766Cu,0.225223415
s680M8,0.226527829
21tsrr,0.227852752
rN4mt2,0.229456697
1Xby7X,0.236486486
Io13lD,0.23764912
YR78f0,0.239197531
8ON1gQ,0.24641457
51S77N,0.247439224
Y46Y7C,0.24878815
kSd2N5,0.250987039
5Nto86,0.251665484
0670qt,0.257749739
5vc40p,0.258364768
bnC483,0.267030863
4fGc86,0.267084023
0h782F,0.277777778
w21G28,0.287137464
N453P3,0.288052142
85qy17,0.292763547
cO03B1,0.294805414
j14K05,0.295741597
pF0LxB,0.296296296
53cRPV,0.29650213
T27kEf,0.304338573
AD5h75,0.310344828
785xp7,0.31302521
1gwiPY,0.315755032
Y6j803,0.315789474
5Vhu53,0.318181818
W3sXJS,0.318518519
OA33o7,0.319033191
0Hv754,0.320754717
m2fxX3,0.331293612
QY1gG4,0.332471568
5i2e5Q,0.35
4sf7Ga,0.356111178
3i4G8H,0.363523187
iJ345a,0.369867085
P61kx3,0.377617467
2MIy5O,0.378450073
262sk6,0.395142035
3Y071j,0.401342924
GUx51B,0.410037707
k305PB,0.43081761
1U42t8,0.436721086
yB3512,0.446404124
wYr0D6,0.449479349
48rNUp,0.450531631
MsrY1b,0.451262792
H706U6,0.453675557
70Jx84,0.473684211
OI26EF,0.47826087
607O6v,0.510988521
QOSsDr,0.529411765
rg1a5S,0.540032785
A2018H,0.546889951
a3RdKM,0.574590701
m412yo,0.619047619
O1jW7f,0.626965332
S4d8jy,0.629210526
j63Fb8,0.648648649
A567C2,0.658015021
qTC4Ey,0.732348112
856of1,0.739130435
sR2705,0.752022905
863I11,0.766666667
fu8y67,0.779905808
y3fi14,0.813947186
v32024,0.833333333
72121t,0.982758621
mi2MpX,1
807x1M,1
262W83,1
5653P7,1
72ApyH,1
20CnVO,1
pUj1O1,1
a161U3,1
1666R1,1
L7640b,1
6TPoJ4,1
m7t21u,1
6Axy7j,1
64my27,1
d56gYk,1
uH021D,1
03KU7K,1
486qQ8,1
7qv51r,1
D5g5e7,1
Ff3sIJ,1
fA8J51,1
L67j2K,1
47v3N2,1
4753V0,1
GBdHtq,1
8d66Ue,1
h4y00L,1
3U13r7,1
rlD5YE,1
ey1Yqx,1
16cJ5C,1
Bo213R,1
BfI543,1
wO10Nm,1
66f36x,1
30Ww3r,1
U3D8h1,1
IT23ie,1
X27DI0,1
3w7I80,1
05v08L,1
v3P84J,1
t8275l,1
LD1168,1
8618Qo,1
U51Vp0,1
424P55,1
c40251,1
785T3r,1
QyxAvH,1
OAdUR7,1
1M17JG,1
88OL84,1
nOxvBT,1
70Y1xw,1
30j472,1
pFsB4y,1
7nB57T,1
724JB3,1
4WAo40,1
8Q1a41,1
v0U46l,1
61187M,1
Vi61I8,1
3qTUC7,1
G6A463,1
8Bn435,1
S40l4Y,1
U6K122,1
2505sK,1
BkQ480,1
lWI5p2,1
4mOKH3,1
g57D43,1
1DN322,1
76TQcy,1
V11528,1
R3168Q,1
514IU4,1
884fm2,1
kUTbnp,1
1T00S3,1
5y17ka,1
b3S4BT,1
2iYyf0,1
N0wAB7,1
6w4bai,1
201L7e,1
5347j5,1
7hF5fi,1
35GS61,1
dNslxB,1
870Ubc,1
2ft5nE,1
4213F1,1
Pv0h51,1
Qo41r6,1
60a7JP,1
761vr4,1
105DSd,1
Fu58IU,1
g3vRK2,1
324u57,1
D721wt,1
21li14,1
1t3FPP,1
X5H2t1,1
WVT2U3,1
nbAi8h,1
24QOy2,1
2Jn5D4,1
8542je,1
Ln7fG6,1
X43687,1
67742W,1
1W1503,1
1GKVn3,1
